CustomerID,Recency,Frequency,Monetary,TotalQuantity,AvgOrderValue,ChurnStatus,Country,SpenderType
12347,2,7,3314.73,1893,473.53285714285715,0,Iceland,High Spender
12348,249,3,90.2,140,30.066666666666666,1,Finland,Low Spender
12349,19,1,999.15,523,999.15,0,Italy,High Spender
12350,310,1,294.4,196,294.4,1,Norway,Mid Spender
12352,36,7,1130.94,500,161.56285714285715,0,Norway,High Spender
12353,204,1,29.300000000000004,14,29.300000000000004,1,Bahrain,Low Spender
12354,232,1,682.69,379,682.69,1,Spain,Mid Spender
12355,214,1,219.0,80,219.0,1,Bahrain,Low Spender
12356,246,2,1086.56,548,543.28,1,Portugal,High Spender
12357,33,1,3315.41,1591,3315.41,0,Switzerland,High Spender
12358,2,2,878.22,202,439.11,0,Austria,High Spender
12359,58,4,3161.58,1424,790.395,0,Cyprus,High Spender
12360,52,3,1843.16,1088,614.3866666666667,0,Austria,High Spender
12361,287,1,174.9,90,174.9,1,Belgium,Low Spender
12362,3,10,4098.94,2008,409.89399999999995,0,Belgium,High Spender
12363,110,2,484.5,366,242.25,1,Unspecified,Mid Spender
12364,8,3,1106.28,1281,368.76,0,Belgium,High Spender
12365,291,1,307.94,172,307.94,1,Cyprus,Mid Spender
12367,4,1,138.3,112,138.3,0,Denmark,Low Spender
12370,51,4,2598.66,1333,649.665,0,Cyprus,High Spender
12370,51,4,2598.66,1333,649.665,0,Austria,High Spender
12371,60,1,1300.46,508,1300.46,0,Switzerland,High Spender
12372,72,3,938.34,670,312.78000000000003,0,Denmark,High Spender
12373,311,1,299.1,166,299.1,1,Austria,Mid Spender
12374,25,1,531.73,331,531.73,0,Austria,Mid Spender
12375,11,2,283.3,142,141.65,0,Finland,Mid Spender
12377,315,2,1472.52,934,736.26,1,Switzerland,High Spender
12378,130,1,3396.64,2053,3396.64,1,Switzerland,High Spender
12379,82,2,736.44,354,368.22,0,Belgium,Mid Spender
12380,22,4,1738.25,878,434.5625,0,Belgium,High Spender
12381,5,5,1253.46,742,250.692,0,Norway,High Spender
12383,185,5,1211.84,1033,242.368,1,Belgium,High Spender
12384,29,2,286.32,107,143.16,0,Switzerland,Mid Spender
12386,367,1,215.7,94,215.7,1,Australia,Low Spender
12388,16,6,2466.7000000000003,1094,411.11666666666673,0,Australia,High Spender
